Latitude,Longitude,Year,Month,Day,displacement,count
-34.11658,151.2231,2015,7,11,-51.05169538810693,24
-34.11658,151.2231,2015,7,12,-134.21593813701796,24
-34.11658,151.2231,2015,7,13,-411.73873274338087,24
-34.11658,151.2231,2015,7,14,-140.80581978428637,24
-34.11658,151.2231,2015,7,15,-85.15934453202972,24
-34.11658,151.2231,2015,7,16,-452.47444730075665,24
-34.11658,151.2231,2015,7,17,-564.1906012138096,24
-34.11658,151.2231,2015,7,18,-461.64809712648014,24
-34.11658,151.2231,2015,7,19,-296.18511032882805,24
-34.11658,151.2231,2015,7,20,-131.6035321339248,24
-34.11658,151.2231,2015,7,21,159.659054337673,24
-34.11658,151.2231,2015,7,22,45.72187802491285,24
-34.11658,151.2231,2015,7,23,-120.67024708321829,24
-34.11658,151.2231,2015,8,5,-394.23465792849834,24
-34.11658,151.2231,2015,8,6,-330.0572929146167,24
-34.11658,151.2231,2015,8,7,-232.1413884965907,24
-34.11658,151.2231,2015,8,8,-199.7838286361036,24
-34.11658,151.2231,2015,8,9,72.18322799047597,24
-34.11658,151.2231,2015,8,10,0.7159456159509983,24
-34.11658,151.2231,2015,8,11,-110.42426982382568,24
-34.11658,151.2231,2015,8,12,-357.40641544395925,24
-34.11658,151.2231,2015,8,13,-355.90770262123425,24
-34.11658,151.2231,2015,8,14,-122.07031850996813,24
-34.11658,151.2231,2015,8,15,-142.91865484647187,24
-34.11658,151.2231,2015,8,16,-53.148620547714906,24
-34.11658,151.2231,2015,8,17,-380.7907902511889,24
-34.11658,151.2231,2015,8,18,-134.43867677309265,24
-34.11658,151.2231,2015,8,19,88.90135361806927,24
-34.11658,151.2231,2015,9,30,124.71454431821499,24
-34.11658,151.2231,2015,10,1,40.09931845430765,24
-34.11658,151.2231,2015,10,2,157.71168226228468,24
-34.11658,151.2231,2015,10,3,86.4607745628038,24
-34.11658,151.2231,2015,10,4,-109.6224107339599,24
-34.11658,151.2231,2015,10,5,151.08679882934845,24
-34.11658,151.2231,2015,10,6,-89.94822520761575,24
-34.11658,151.2231,2015,10,7,-6.465784407170111,24
-34.11658,151.2231,2015,10,8,272.8866489955121,24
-34.11658,151.2231,2015,10,9,245.20341851205885,24
-34.11658,151.2231,2015,10,10,197.5659882169121,24
-34.11658,151.2231,2015,10,11,160.60092057021345,24
-34.11658,151.2231,2015,10,12,-75.95387490115378,24
-34.11658,151.2231,2015,10,13,182.78568872316026,24
-34.11658,151.2231,2015,10,14,354.3517141492334,24
-34.11658,151.2231,2015,11,2,-221.66949062060888,24
-34.11658,151.2231,2015,11,3,-170.27732331736112,24
-34.11658,151.2231,2015,11,4,501.2223887957568,24
-34.11658,151.2231,2015,11,5,281.2107100236402,24
-34.11658,151.2231,2015,11,6,1.527350647363167,24
-34.11658,151.2231,2015,11,7,-380.87988570561964,24
-34.11658,151.2231,2015,11,8,-121.53892776390626,24
-34.11658,151.2231,2015,11,9,179.47961096772264,24
-34.11658,151.2231,2015,11,10,-39.14154231919092,24
-34.11658,151.2231,2015,11,11,225.41468168716315,24
-34.11658,151.2231,2015,11,12,175.77896762838265,24
-34.11658,151.2231,2015,11,13,-119.48336835099819,24
-34.11658,151.2231,2015,11,14,-346.6226834774749,24
-34.11658,151.2231,2015,11,15,-282.4739562882306,24
-34.11658,151.2231,2015,11,16,103.36981902131754,24
-34.11658,151.2231,2016,1,19,287.9087790084302,24
-34.11658,151.2231,2016,1,20,70.29313156436437,24
-34.11658,151.2231,2016,1,21,77.51622733418455,24
-34.11658,151.2231,2016,1,22,-162.4146494639569,24
-34.11658,151.2231,2016,1,23,-253.0565464239166,24
-34.11658,151.2231,2016,1,24,-86.40986287455813,24
-34.11658,151.2231,2016,1,25,206.47235167934724,24
-34.11658,151.2231,2016,1,26,235.42519238842078,24
-34.11658,151.2231,2016,1,27,395.882923835444,24
-34.11658,151.2231,2016,1,28,300.4235083752604,24
-34.11658,151.2231,2016,1,29,151.7581967180851,24
-34.11658,151.2231,2016,1,30,97.899994515449265,24
-34.11658,151.2231,2016,1,31,-38.20604004768094,24
-34.11658,151.2231,2016,2,1,-197.69963139855616,24
