"Southeast.Winds","Northeast.Winds","Abundance"
0.35,-1.85,0.0023456601787919
0.4,-1.85,0.00238356527496765
0.45,-1.85,0.00242126563738847
0.5,-1.85,0.00245873238464282
0.55,-1.85,0.00249593642181636
0.6,-1.85,0.00253284847675746
0.65,-1.85,0.00256943913719889
0.7,-1.85,0.00260567888867285
0.75,-1.85,0.00264153815315388
0.8,-1.85,0.00267698732836122
0.85,-1.85,0.00271199682764995
0.9,-1.85,0.00274653712041766
0.95,-1.85,0.00278057877295119
1,-1.85,0.00281409248963603
1.05,-1.85,0.00284704915444908
1.1,-1.85,0.00287941987265361
1.15,-1.85,0.00291117601261423
1.2,-1.85,0.00294228924764787
1.25,-1.85,0.00297273159782613
1.3,-1.85,0.00300247547164341
1.35,-1.85,0.00303149370746446
1.4,-1.85,0.00305975961466483
1.45,-1.85,0.00308724701437756
1.5,-1.85,0.00311393027975911
1.55,-1.85,0.00313978437568858
1.6,-1.85,0.00316478489781407
1.65,-1.85,0.00318890811086133
1.7,-1.85,0.00321213098612074
1.75,-1.85,0.0032344312380297
1.8,-1.85,0.00325578735976951
1.85,-1.85,0.00327617865779693
1.9,-1.85,0.00329558528523314
1.95,-1.85,0.0033139882740346
2,-1.85,0.00333136956587292
-2,-1.8,0.000788744103157993
-1.95,-1.8,0.000814208625175058
-1.9,-1.8,0.00084021166382597
-1.85,-1.8,0.000866752589206148
-1.8,-1.8,0.000893830198332807
-1.75,-1.8,0.00092144269869343
-1.7,-1.8,0.000949587692287526
-1.65,-1.8,0.000978262160209845
-1.6,-1.8,0.00100746244782349
-1.55,-1.8,0.00103718425057139
-1.5,-1.8,0.00106742260047457
-1.45,-1.8,0.00109817185336543
-1.4,-1.8,0.00112942567690395
-1.35,-1.8,0.00116117703942429
-1.3,-1.8,0.00119341819965851
-1.25,-1.8,0.00122614069738352
-1.2,-1.8,0.00125933534503646
-1.15,-1.8,0.00129299222034243
-1.1,-1.8,0.00132710065999771
-1.05,-1.8,0.00136164925444973
-1,-1.8,0.00139662584381398
-0.95,-1.8,0.00143201751496614
-0.9,-1.8,0.00146781059984602
-0.85,-1.8,0.00150399067500789
-0.8,-1.8,0.00154054256244973
-0.75,-1.8,0.00157745033175158
-0.7,-1.8,0.00161469730355097
-0.65,-1.8,0.00165226605438076
-0.6,-1.8,0.0016901384228921
-0.55,-1.8,0.00172829551748249
-0.5,-1.8,0.00176671772534597
-0.45,-1.8,0.00180538472295955
-0.4,-1.8,0.00184427548801686
-0.35,-1.8,0.0018833683128166
-0.3,-1.8,0.00192264081911049
-0.25,-1.8,0.00196206997441155
-0.2,-1.8,0.00200163210976039
-0.15,-1.8,0.00204130293894361
-0.0999999999999999,-1.8,0.00208105757915473
-0.0499999999999998,-1.8,0.00212087057308448
0,-1.8,0.00216071591242371
0.0500000000000003,-1.8,0.00220056706275821
0.1,-1.8,0.00224039698983148
0.15,-1.8,0.00228017818714713
0.2,-1.8,0.00231988270487959
0.25,-1.8,0.00235948218005746
0.3,-1.8,0.00239894786798063
0.35,-1.8,0.00243825067482847
0.4,-1.8,0.00247736119141282
