year,month,Monthly_Rain,count,,,,,,,
1973,1,271.8,30,,,,,,,
1973,2,309.5,27,,,,,,,
1973,3,97.1,31,,,,,,,
1973,4,48.1,30,,,,,,,
1973,5,29.7,31,,,,,,,
1973,6,97.1,30,,,,,,,
1973,7,79.8,31,,,,,,,
1973,8,32.6,31,,,,,,,
1973,9,33.5,30,,,,,,,
1973,10,110.6,31,,,,,,,
1973,11,248.9,30,,,,,,,
1973,12,40.9,31,,,,,,,
1974,1,209.8,31,,,,,,,
1974,2,136,28,,,,,,,
1974,3,362.2,29,,,,,,,
1974,4,284.2,28,,,,,,,
1974,5,204.8,25,,,,,,,
1974,6,205.2,25,,,,,,,
1974,7,14.4,31,,,,,,,
1974,8,348,29,,,,,,,
1974,9,36.8,29,,,,,,,
1974,10,126.2,29,,,,,,,
1974,11,51.6,25,,,,,,,
1974,12,11.2,31,,,,,,,
1975,1,39,29,,,,,,,
1975,2,194.2,22,,,,,,,
1975,3,534,25,,,,,,,
1975,4,220.8,28,,,,,,,
1975,5,16.4,31,,,,,,,
1975,6,324.1,25,,,,,,,
1975,7,255,31,,,,,,,
1975,8,31,29,,,,,,,
1975,9,47.5,28,,,,,,,
1975,10,134.9,28,,,,,,,
1975,11,91.8,25,,,,,,,
1975,12,51.6,28,,,,,,,
1976,1,312.8,28,,,,,,,
1976,2,187.4,22,,,,,,,
1976,3,401.6,27,,,,,,,
1976,4,52.7,23,,,,,,,
1976,5,38.6,31,,,,,,,
1976,6,122.4,28,,,,,,,
1976,7,109.6,29,,,,,,,
1976,8,13,29,,,,,,,
1976,9,54.2,28,,,,,,,
1976,10,350.6,24,,,,,,,
1976,11,195.8,24,,,,,,,
1976,12,39.2,29,,,,,,,
1977,1,110.8,24,,,,,,,
1977,2,333.2,22,,,,,,,
1977,3,344.8,25,,,,,,,
1977,4,33.6,30,,,,,,,
1977,5,160.6,27,,,,,,,
1977,6,114.3,25,,,,,,,
1977,7,1.6,31,,,,,,,
1977,8,24,25,,,,,,,
1977,9,64.6,24,,,,,,,
1977,10,16.6,25,,,,,,,
1977,11,16.6,28,,,,,,,
1977,12,29.6,24,,,,,,,
1978,1,415.4,26,,,,,,,
1978,2,11.8,26,,,,,,,
1978,3,494.2,23,,,,,,,
1978,4,77.8,26,,,,,,,
1978,5,84.1,29,,,,,,,
1978,6,257.6,27,,,,,,,
1978,7,24.9,28,,,,,,,
1978,8,53.4,27,,,,,,,
1978,9,114.8,30,,,,,,,
1978,10,81,26,,,,,,,
1978,11,192.3,26,,,,,,,
1978,12,79.6,20,,,,,,,
1979,1,71.5,28,,,,,,,
1979,2,28.6,24,,,,,,,
1979,3,203.5,27,,,,,,,
1979,4,28.8,27,,,,,,,
1979,5,107.8,27,,,,,,,
1979,6,139.2,26,,,,,,,
1979,7,25.4,29,,,,,,,
1979,8,10.8,29,,,,,,,
1979,9,20.8,24,,,,,,,
1979,10,51.8,26,,,,,,,
1979,11,84.4,24,,,,,,,
1979,12,11.8,27,,,,,,,
1980,1,113.8,21,,,,,,,
1980,2,132.8,25,,,,,,,
1980,3,108.1,27,,,,,,,
1980,4,16.9,24,,,,,,,
1980,5,165.1,27,,,,,,,
1980,6,53.1,24,,,,,,,
1980,7,43.3,28,,,,,,,
1980,8,16.4,31,,,,,,,
1980,9,3.4,28,,,,,,,
1980,10,23.7,24,,,,,,,
1980,11,37.4,28,,,,,,,
1980,12,65.4,22,,,,,,,
1981,1,105.7,24,,,,,,,
1981,2,264.7,23,,,,,,,
1981,3,7.4,31,,,,,,,
1981,4,149.9,30,,,,,,,
1981,5,128.1,31,,,,,,,
1981,6,68.2,30,,,,,,,
1981,7,35.4,31,,,,,,,
1981,8,9.7,31,,,,,,,
1981,9,2.5,30,,,,,,,
1981,10,204.5,31,,,,,,,
1981,11,180.4,30,,,,,,,
1981,12,82.4,25,,,,,,,
1982,1,110.8,24,,,,,,,
1982,2,37.6,27,,,,,,,
1982,3,156.4,25,,,,,,,
1982,4,17.2,22,,,,,,,
1982,5,0,31,,,,,,,
1982,6,88.2,23,,,,,,,
1982,7,55.4,27,,,,,,,
1982,8,2.4,29,,,,,,,
1982,9,206.5,26,,,,,,,
1982,10,36.2,24,,,,,,,
1982,11,25.4,28,,,,,,,
1982,12,38.8,23,,,,,,,
1983,1,35.8,23,,,,,,,
1983,2,48.6,22,,,,,,,
1983,3,326.6,25,,,,,,,
1983,4,63.2,21,,,,,,,
1983,5,342.4,24,,,,,,,
1983,6,99.3,26,,,,,,,
1983,7,17.8,27,,,,,,,
1983,8,32.6,29,,,,,,,
1983,9,55.2,26,,,,,,,
1983,10,289.2,22,,,,,,,
1983,11,75.4,28,,,,,,,
1983,12,119,21,,,,,,,
1984,1,381.4,20,,,,,,,
1984,2,342.2,21,,,,,,,
1984,3,133,27,,,,,,,
1984,4,134.2,22,,,,,,,
1984,5,48.8,27,,,,,,,
1984,6,92,28,,,,,,,
1984,7,161.8,25,,,,,,,
1984,8,3.6,27,,,,,,,
1984,9,46,22,,,,,,,
1984,10,55,25,,,,,,,
1984,11,326.3,24,,,,,,,
1984,12,53.2,20,,,,,,,
1985,1,67,25,,,,,,,
1985,2,46.7,22,,,,,,,
1985,3,172,27,,,,,,,
1985,4,273.2,20,,,,,,,
1985,5,193.3,22,,,,,,,
1985,6,49.7,26,,,,,,,
1985,7,69.2,29,,,,,,,
1985,8,20.4,29,,,,,,,
1985,9,73.2,26,,,,,,,
1985,10,181.2,27,,,,,,,
1985,11,88.8,24,,,,,,,
1985,12,169.5,24,,,,,,,
1986,1,196.2,24,,,,,,,
1986,2,124.8,24,,,,,,,
1986,3,29.6,24,,,,,,,
1986,4,116.4,21,,,,,,,
1986,5,49.2,25,,,,,,,
1986,6,17.6,28,,,,,,,
1986,7,13.8,27,,,,,,,
1986,8,263.7,25,,,,,,,
1986,9,113.5,26,,,,,,,
1986,10,92,24,,,,,,,
1986,11,234.6,23,,,,,,,
1986,12,18.2,25,,,,,,,
